treatment,treatment_variable,theta,se,ci_lo,ci_hi,n_effective,status,error_msg
fx_s1_cx1_froth_h,fx_s1_cx1_froth_h,-2.075688982881028e-05,3.141703340642275e-05,-8.233427530539888e-05,4.082049564777831e-05,86400,success,
fx_s1_sx3_froth_h,fx_s1_sx3_froth_h,4.280487335429535e-05,3.3112198426517456e-05,-2.2095035561678864e-05,0.00010770478227026955,86400,success,
fx_s1_jx_froth_h,fx_s1_jx_froth_h,9.585187666844564e-05,3.344395257879851e-05,3.0301729614000557e-05,0.00016140202372289073,86400,success,
fx_s1_sx3_air_flow,fx_s1_sx3_air_flow,-1.963418771760137,0.04921888406481084,-2.059887784527166,-1.8669497589931077,86400,success,
fx_s1_ph,fx_s1_ph,0.0008808214464484457,0.0004070042527528246,8.30931110529094e-05,0.001678549781843982,86400,success,
fx_s1_td_rough_freq,fx_s1_td_rough_freq,0.0024126896334740336,7.269488180196042e-05,0.002270207665142191,0.002555171601805876,86400,success,
fx_s1_sx1_air_flow,fx_s1_sx1_air_flow,-0.8581918683983298,0.04905601798643189,-0.9543416636517363,-0.7620420731449233,86400,success,
fx_blower1_pressure,fx_blower1_pressure,-0.00012057039399201415,1.2779830069261548e-05,-0.0001456188609277668,-9.552192705626152e-05,86400,success,
fx_s1_ft1701,fx_s1_ft1701,-0.004655096725498998,0.005561676602293522,-0.0155559828659943,0.006245789414996305,86400,success,
fx_s1_cx3_froth_h,fx_s1_cx3_froth_h,4.1178370346382296e-05,3.304275678732126e-05,-2.3585432956767374e-05,0.00010594217364953197,86400,success,
fx_s1_cx2_level,fx_s1_cx2_level,-0.023385018873344116,0.0010920279126087294,-0.025525393582057226,-0.021244644164631007,86400,success,
fx_s1_cx1_level,fx_s1_cx1_level,-0.022604901850585397,0.001070333996707256,-0.02470275648413162,-0.020507047217039175,86400,success,
fx_s1_cx2_froth_h,fx_s1_cx2_froth_h,7.985384349109352e-05,3.4198503106749105e-05,1.2824777401865278e-05,0.00014688290958032177,86400,success,
fx_s1_pool3_level,fx_s1_pool3_level,-0.006308656465892601,0.0023824810669149468,-0.010978319357045897,-0.0016389935747393048,86400,success,
fx_s1_pool1_level,fx_s1_pool1_level,-0.004015307661606884,0.0024084553612381166,-0.008735880169633593,0.0007052648464198246,86400,success,
fx_s1_pool3_pump_curr,fx_s1_pool3_pump_curr,-0.0005454204991677201,0.00013929511464461127,-0.0008184389238711582,-0.000272402074464282,86400,success,
fx_s1_pool1_pump_freq,fx_s1_pool1_pump_freq,0.0005756080589553725,0.00012087687091189207,0.00033868939196806405,0.000812526725942681,86400,success,
fx_s1_pool3_pump_freq,fx_s1_pool3_pump_freq,-0.00020620223333161933,0.00012385879246607228,-0.000448965466565121,3.656099990188234e-05,86400,success,
fx_s1_pool2_pump_freq,fx_s1_pool2_pump_freq,0.0006958247052993863,0.00011329755846217418,0.00047376149071352494,0.0009178879198852477,86400,success,
fx_s1_pool1_pump_curr,fx_s1_pool1_pump_curr,0.0004893622616327223,0.0001332807361689659,0.0002281320187415492,0.0007505925045238955,86400,success,
fx_ah5_power,fx_ah5_power,-6.7587096902930755e-06,9.816881876790474e-06,-2.5999798168802403e-05,1.248237878821625e-05,86400,success,
